Tên công ty,Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,24/03/2026,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
24/03/2026,"59,000.00","59,000.00","58,000.00","58,200.00",600.00,0.01,"3,112,600.00"
23/03/2026,"57,800.00","58,300.00","56,500.00","57,600.00",-400.00,-0.01,"9,648,600.00"
20/03/2026,"59,800.00","59,800.00","58,000.00","58,000.00","-1,800.00",-0.03,"8,322,900.00"
19/03/2026,"59,700.00","60,000.00","59,000.00","59,800.00",-700.00,-0.01,"6,184,000.00"
18/03/2026,"60,900.00","62,000.00","60,000.00","60,500.00",0.00,0.00,"8,225,000.00"
17/03/2026,"59,500.00","60,500.00","59,400.00","60,500.00","1,700.00",0.03,"7,148,800.00"
16/03/2026,"59,300.00","59,800.00","58,600.00","58,800.00",-200.00,0.00,"3,985,900.00"
13/03/2026,"59,200.00","60,100.00","58,900.00","59,000.00",-800.00,-0.01,"5,656,900.00"
12/03/2026,"60,200.00","60,300.00","59,500.00","59,800.00",-600.00,-0.01,"6,217,000.00"
11/03/2026,"60,500.00","61,200.00","60,000.00","60,400.00",0.00,0.00,"8,789,200.00"
10/03/2026,"59,800.00","60,900.00","58,800.00","60,400.00","3,100.00",0.05,"11,524,700.00"
09/03/2026,"57,400.00","59,700.00","57,300.00","57,300.00","-4,300.00",-0.07,"29,396,000.00"
06/03/2026,"62,000.00","63,200.00","61,600.00","61,600.00",-900.00,-0.01,"8,854,200.00"
05/03/2026,"63,700.00","63,700.00","62,500.00","62,500.00",-500.00,-0.01,"6,037,000.00"
04/03/2026,"61,800.00","63,200.00","61,700.00","63,000.00","1,400.00",0.02,"10,259,500.00"
03/03/2026,"62,900.00","63,700.00","61,400.00","61,600.00","-1,300.00",-0.02,"12,575,400.00"
02/03/2026,"62,900.00","63,900.00","62,900.00","62,900.00","-2,000.00",-0.03,"17,105,000.00"
27/02/2026,"65,500.00","66,400.00","64,800.00","64,900.00",-500.00,-0.01,"8,831,200.00"
26/02/2026,"65,200.00","65,900.00","65,000.00","65,400.00",300.00,0.00,"7,561,900.00"
25/02/2026,"65,000.00","66,500.00","64,700.00","65,100.00",100.00,0.00,"9,488,800.00"
24/02/2026,"66,600.00","66,600.00","64,900.00","65,000.00","-1,400.00",-0.02,"10,246,500.00"
23/02/2026,"65,000.00","66,700.00","64,600.00","66,400.00","2,000.00",0.03,"10,104,200.00"
13/02/2026,"64,700.00","65,100.00","64,000.00","64,400.00",200.00,0.00,"4,951,400.00"
12/02/2026,"65,500.00","65,500.00","64,200.00","64,200.00",-500.00,-0.01,"7,950,400.00"
11/02/2026,"64,000.00","66,600.00","63,500.00","64,700.00","1,600.00",0.03,"11,121,200.00"
10/02/2026,"64,500.00","65,500.00","62,600.00","63,100.00","-1,900.00",-0.03,"15,811,100.00"
09/02/2026,"65,500.00","66,000.00","64,200.00","65,000.00",-100.00,0.00,"7,308,900.00"
06/02/2026,"67,900.00","67,900.00","64,900.00","65,100.00","-3,300.00",-0.05,"24,570,400.00"
05/02/2026,"70,700.00","70,800.00","68,400.00","68,400.00","-2,400.00",-0.03,"11,688,700.00"
04/02/2026,"72,000.00","72,000.00","70,500.00","70,800.00","-1,000.00",-0.01,"8,726,700.00"
03/02/2026,"72,400.00","73,300.00","71,300.00","71,800.00",300.00,0.00,"15,094,700.00"
02/02/2026,"70,500.00","71,500.00","69,300.00","71,500.00","1,000.00",0.01,"10,711,000.00"
30/01/2026,"70,600.00","71,900.00","69,600.00","70,500.00",700.00,0.01,"11,480,700.00"
29/01/2026,"69,300.00","70,800.00","68,600.00","69,800.00",200.00,0.00,"7,855,400.00"
28/01/2026,"71,100.00","72,900.00","69,400.00","69,600.00","-1,000.00",-0.01,"12,283,200.00"
27/01/2026,"69,700.00","71,500.00","68,100.00","70,600.00","1,000.00",0.01,"9,645,200.00"
26/01/2026,"68,900.00","71,100.00","68,700.00","69,600.00","1,000.00",0.01,"10,990,600.00"
23/01/2026,"71,000.00","71,000.00","68,500.00","68,600.00","-2,400.00",-0.03,"16,804,700.00"
22/01/2026,"73,400.00","75,900.00","70,600.00","71,000.00","-1,800.00",-0.02,"18,577,500.00"
21/01/2026,"72,800.00","73,600.00","71,700.00","72,800.00",-700.00,-0.01,"11,179,000.00"
20/01/2026,"74,000.00","75,000.00","72,100.00","73,500.00",800.00,0.01,"18,491,600.00"
19/01/2026,"73,000.00","73,500.00","71,600.00","72,700.00",-300.00,0.00,"8,212,000.00"
16/01/2026,"73,000.00","76,000.00","72,000.00","73,000.00","1,100.00",0.02,"13,426,500.00"
15/01/2026,"74,000.00","74,900.00","71,900.00","71,900.00","-4,100.00",-0.05,"23,227,200.00"
14/01/2026,"73,100.00","78,800.00","73,100.00","76,000.00","2,000.00",0.03,"21,213,600.00"
13/01/2026,"74,300.00","76,000.00","71,800.00","74,000.00","1,300.00",0.02,"28,198,200.00"
12/01/2026,"69,900.00","72,700.00","69,600.00","72,700.00","4,700.00",0.07,"21,973,100.00"
09/01/2026,"65,400.00","68,000.00","65,400.00","68,000.00","4,300.00",0.07,"32,481,400.00"
08/01/2026,"59,800.00","63,700.00","59,700.00","63,700.00","4,100.00",0.07,"27,104,600.00"
07/01/2026,"57,600.00","59,900.00","57,500.00","59,600.00","2,300.00",0.04,"12,918,300.00"
06/01/2026,"57,100.00","57,500.00","56,600.00","57,300.00",200.00,0.00,"4,173,200.00"
05/01/2026,"57,500.00","57,600.00","57,000.00","57,100.00",-400.00,-0.01,"3,591,800.00"
31/12/2025,"57,400.00","57,900.00","57,300.00","57,500.00",200.00,0.00,"2,530,800.00"
30/12/2025,"57,300.00","58,100.00","57,200.00","57,300.00",200.00,0.00,"2,958,000.00"
29/12/2025,"57,400.00","57,500.00","57,100.00","57,100.00",0.00,0.00,"2,099,700.00"
26/12/2025,"57,100.00","57,400.00","56,600.00","57,100.00",0.00,0.00,"3,302,500.00"
25/12/2025,"57,000.00","57,900.00","57,000.00","57,100.00",100.00,0.00,"3,968,100.00"
24/12/2025,"57,300.00","57,300.00","56,900.00","57,000.00",-200.00,0.00,"4,431,500.00"
23/12/2025,"57,800.00","58,100.00","57,000.00","57,200.00",-600.00,-0.01,"3,147,900.00"
22/12/2025,"57,700.00","58,000.00","57,300.00","57,800.00",300.00,0.01,"2,961,200.00"
19/12/2025,"57,000.00","57,500.00","56,700.00","57,500.00",700.00,0.01,"4,265,500.00"
18/12/2025,"57,200.00","57,500.00","56,700.00","56,800.00",100.00,0.00,"3,075,800.00"
17/12/2025,"57,000.00","57,500.00","56,700.00","56,700.00",-200.00,0.00,"2,331,200.00"
16/12/2025,"56,900.00","57,400.00","56,000.00","56,900.00",100.00,0.00,"6,346,800.00"
15/12/2025,"56,800.00","57,300.00","56,700.00","56,800.00",0.00,0.00,"3,203,100.00"
12/12/2025,"57,800.00","57,800.00","56,800.00","56,800.00",-800.00,-0.01,"4,847,700.00"
11/12/2025,"58,400.00","58,400.00","57,600.00","57,600.00",-600.00,-0.01,"1,746,700.00"
10/12/2025,"58,300.00","58,600.00","57,800.00","58,200.00",200.00,0.00,"3,082,500.00"
09/12/2025,"57,900.00","58,700.00","57,300.00","58,000.00",100.00,0.00,"4,519,400.00"
08/12/2025,"58,200.00","58,300.00","57,800.00","57,900.00",-400.00,-0.01,"2,141,500.00"
05/12/2025,"59,000.00","59,200.00","58,200.00","58,300.00",-600.00,-0.01,"3,604,700.00"
04/12/2025,"59,000.00","59,400.00","58,700.00","58,900.00",0.00,0.00,"2,923,100.00"
03/12/2025,"57,800.00","59,100.00","57,800.00","58,900.00","1,300.00",0.02,"6,161,200.00"
02/12/2025,"57,500.00","57,800.00","57,200.00","57,600.00",100.00,0.00,"3,185,600.00"
01/12/2025,"57,600.00","58,000.00","57,500.00","57,500.00",100.00,0.00,"2,824,900.00"
28/11/2025,"58,000.00","58,100.00","57,400.00","57,400.00",-500.00,-0.01,"3,534,300.00"
27/11/2025,"58,200.00","58,500.00","57,900.00","57,900.00",-200.00,0.00,"3,113,500.00"
26/11/2025,"58,500.00","58,600.00","57,800.00","58,100.00",-100.00,0.00,"5,371,200.00"
25/11/2025,"58,900.00","59,000.00","58,200.00","58,200.00",-600.00,-0.01,"2,755,000.00"
24/11/2025,"59,000.00","59,300.00","58,700.00","58,800.00",-200.00,0.00,"2,025,600.00"
21/11/2025,"59,100.00","59,200.00","58,700.00","59,000.00",-400.00,-0.01,"3,452,400.00"
20/11/2025,"59,600.00","59,700.00","59,200.00","59,400.00",0.00,0.00,"2,259,400.00"
19/11/2025,"59,900.00","60,100.00","59,300.00","59,400.00",-500.00,-0.01,"2,896,200.00"
18/11/2025,"60,400.00","60,400.00","59,800.00","59,900.00",-300.00,0.00,"2,158,800.00"
17/11/2025,"60,000.00","60,400.00","59,900.00","60,200.00",200.00,0.00,"1,585,600.00"
14/11/2025,"59,800.00","60,400.00","59,400.00","60,000.00",200.00,0.00,"2,069,600.00"
13/11/2025,"59,500.00","60,000.00","59,200.00","59,800.00",300.00,0.01,"2,113,500.00"
12/11/2025,"59,100.00","59,700.00","59,000.00","59,500.00",600.00,0.01,"2,012,700.00"
11/11/2025,"59,100.00","59,600.00","58,800.00","58,900.00",100.00,0.00,"2,540,900.00"
10/11/2025,"59,400.00","59,700.00","58,800.00","58,800.00",-500.00,-0.01,"2,316,500.00"
07/11/2025,"60,000.00","60,000.00","59,000.00","59,300.00","-1,000.00",-0.02,"3,586,300.00"
06/11/2025,"60,900.00","61,300.00","60,200.00","60,300.00",-500.00,-0.01,"2,821,200.00"
05/11/2025,"60,000.00","61,100.00","59,900.00","60,800.00",700.00,0.01,"4,601,700.00"
04/11/2025,"59,200.00","60,400.00","59,100.00","60,100.00",800.00,0.01,"2,952,400.00"
03/11/2025,"60,000.00","60,300.00","59,300.00","59,300.00",-300.00,-0.01,"2,800,100.00"
31/10/2025,"60,800.00","60,800.00","59,600.00","59,600.00","-1,000.00",-0.02,"2,117,800.00"
30/10/2025,"61,000.00","61,200.00","60,300.00","60,600.00",-100.00,0.00,"1,946,600.00"
29/10/2025,"60,000.00","61,000.00","59,800.00","60,700.00",700.00,0.01,"3,716,000.00"
28/10/2025,"59,200.00","60,200.00","59,100.00","60,000.00",800.00,0.01,"2,789,700.00"
27/10/2025,"60,000.00","60,000.00","59,200.00","59,200.00",-300.00,-0.01,"2,640,000.00"
24/10/2025,"59,800.00","59,900.00","58,800.00","59,500.00",-300.00,-0.01,"4,372,700.00"
23/10/2025,"58,900.00","60,300.00","58,900.00","59,800.00",200.00,0.00,"4,227,100.00"
22/10/2025,"60,100.00","60,200.00","58,500.00","59,600.00",300.00,0.01,"4,664,800.00"
21/10/2025,"59,700.00","60,700.00","59,300.00","59,300.00",-100.00,0.00,"8,416,700.00"
20/10/2025,"61,800.00","62,200.00","58,600.00","59,400.00","-2,500.00",-0.04,"12,115,600.00"
17/10/2025,"62,900.00","62,900.00","61,800.00","61,900.00","-1,000.00",-0.02,"5,405,900.00"
16/10/2025,"62,700.00","63,000.00","62,500.00","62,900.00",400.00,0.01,"4,634,400.00"
15/10/2025,"63,100.00","63,400.00","62,500.00","62,500.00",-600.00,-0.01,"5,218,800.00"
14/10/2025,"63,500.00","64,000.00","62,900.00","63,100.00",0.00,0.00,"7,008,900.00"
13/10/2025,"63,400.00","63,800.00","62,800.00","63,100.00","-1,100.00",-0.02,"7,992,500.00"
10/10/2025,"63,900.00","64,400.00","63,600.00","64,200.00",400.00,0.01,"4,985,600.00"
09/10/2025,"64,500.00","65,200.00","63,800.00","63,800.00",-800.00,-0.01,"5,734,200.00"
08/10/2025,"64,200.00","64,900.00","63,600.00","64,600.00",900.00,0.01,"8,113,800.00"
07/10/2025,"64,100.00","64,100.00","63,300.00","63,700.00",-300.00,0.00,"4,229,300.00"
06/10/2025,"62,800.00","64,000.00","62,800.00","64,000.00","2,300.00",0.04,"7,461,700.00"
03/10/2025,"62,000.00","62,000.00","61,400.00","61,700.00",0.00,0.00,"2,821,100.00"
02/10/2025,"61,947.83","62,642.75","61,650.00","61,650.00",-300.00,0.00,"3,757,500.00"
01/10/2025,"62,245.65","62,245.65","61,550.72","61,947.83",400.00,0.01,"3,227,000.00"
30/09/2025,"62,344.93","62,444.20","61,352.17","61,550.72",-600.00,-0.01,"4,294,100.00"
29/09/2025,"62,444.20","62,444.20","61,947.83","62,146.38",-400.00,-0.01,"3,220,900.00"
26/09/2025,"62,742.03","62,940.58","62,444.20","62,543.48",0.00,0.00,"4,021,900.00"
25/09/2025,"62,841.30","62,940.58","62,245.65","62,543.48",300.00,0.00,"4,075,300.00"
24/09/2025,"61,947.83","62,245.65","61,352.17","62,245.65",500.00,0.01,"3,919,200.00"
23/09/2025,"61,947.83","62,642.75","61,749.28","61,749.28",200.00,0.00,"3,806,300.00"
22/09/2025,"62,543.48","62,742.03","61,352.17","61,550.72","-1,000.00",-0.02,"6,101,300.00"
19/09/2025,"63,734.78","64,032.61","62,543.48","62,543.48",-900.00,-0.01,"7,137,700.00"
18/09/2025,"64,429.71","64,429.71","63,139.13","63,436.96",-900.00,-0.01,"8,803,400.00"
17/09/2025,"65,025.36","65,323.19","64,330.43","64,330.43",-800.00,-0.01,"6,266,800.00"
16/09/2025,"65,521.74","66,117.39","65,124.64","65,124.64",-200.00,0.00,"6,820,401.00"
15/09/2025,"65,521.74","65,521.74","65,025.36","65,323.19",0.00,0.00,"12,016,900.00"
12/09/2025,"65,720.29","65,720.29","64,528.99","65,323.19",100.00,0.00,"5,694,200.00"
11/09/2025,"65,124.64","65,521.74","63,734.78","65,223.91",-100.00,0.00,"6,631,100.00"
10/09/2025,"65,124.64","65,521.74","64,330.43","65,323.19",900.00,0.01,"5,006,400.00"
09/09/2025,"65,025.36","65,720.29","64,032.61","64,429.71",-400.00,-0.01,"6,437,300.00"
08/09/2025,"66,613.77","67,010.87","64,826.81","64,826.81","-2,200.00",-0.03,"11,249,800.00"
05/09/2025,"68,996.38","69,095.65","67,010.87","67,010.87","-1,400.00",-0.02,"11,292,800.00"
04/09/2025,"67,010.87","68,500.00","66,415.22","68,400.72","1,900.00",0.03,"9,032,100.00"
03/09/2025,"68,301.45","68,301.45","66,514.49","66,514.49","-1,600.00",-0.02,"14,561,900.00"
29/08/2025,"68,698.55","69,592.03","68,003.62","68,102.90",-400.00,-0.01,"14,696,101.00"
28/08/2025,"68,996.38","70,088.41","68,202.17","68,500.00",-100.00,0.00,"9,344,400.00"
27/08/2025,"64,528.99","68,599.28","64,528.99","68,599.28","4,500.00",0.07,"33,198,100.00"
26/08/2025,"63,139.13","64,528.99","62,444.20","64,131.88","1,000.00",0.02,"8,201,400.00"
25/08/2025,"65,323.19","65,323.19","62,940.58","63,139.13","-1,000.00",-0.02,"7,867,800.00"
22/08/2025,"63,536.23","66,713.04","63,238.41","64,131.88",400.00,0.01,"19,157,300.00"
21/08/2025,"62,841.30","64,528.99","62,841.30","63,734.78","1,200.00",0.02,"9,909,300.00"
20/08/2025,"64,032.61","64,131.88","61,749.28","62,543.48","-1,200.00",-0.02,"10,750,600.00"
19/08/2025,"64,032.61","64,926.09","63,734.78","63,734.78",-300.00,0.00,"9,408,400.00"
18/08/2025,"64,330.43","65,124.64","63,536.23","64,032.61",200.00,0.00,"8,570,300.00"
15/08/2025,"66,911.59","67,010.87","63,734.78","63,834.06",-900.00,-0.01,"16,730,800.00"
14/08/2025,"63,238.41","65,819.57","62,841.30","64,727.54","2,700.00",0.04,"19,276,101.00"
13/08/2025,"63,039.86","63,139.13","61,550.72","62,047.10",-500.00,-0.01,"7,582,800.00"
12/08/2025,"62,344.93","64,330.43","62,245.65","62,543.48",500.00,0.01,"12,457,000.00"
11/08/2025,"61,650.00","62,742.03","61,650.00","62,047.10",600.00,0.01,"7,383,300.00"
08/08/2025,"61,749.28","62,841.30","61,153.62","61,451.45",200.00,0.00,"10,807,800.00"
07/08/2025,"62,444.20","62,444.20","60,855.80","61,252.90",-600.00,-0.01,"9,615,700.00"
06/08/2025,"61,650.00","62,344.93","61,451.45","61,848.55",800.00,0.01,"4,805,500.00"
05/08/2025,"61,054.35","63,238.41","60,756.52","61,054.35",400.00,0.01,"18,868,200.00"
04/08/2025,"59,664.49","60,955.07","59,565.22","60,657.25",900.00,0.01,"4,590,400.00"
01/08/2025,"59,863.04","60,160.87","59,267.39","59,763.77",0.00,0.00,"4,928,600.00"
31/07/2025,"61,054.35","61,252.90","59,664.49","59,763.77",-700.00,-0.01,"6,194,900.00"
30/07/2025,"60,557.97","61,451.45","59,962.32","60,458.70",-100.00,0.00,"7,388,000.00"
29/07/2025,"62,742.03","62,742.03","60,557.97","60,557.97","-1,800.00",-0.03,"10,767,800.00"
28/07/2025,"61,749.28","62,543.48","61,650.00","62,344.93",800.00,0.01,"10,801,700.00"
25/07/2025,"61,650.00","62,047.10","61,451.45","61,550.72",-100.00,0.00,"5,106,400.00"
24/07/2025,"61,749.28","63,039.86","61,451.45","61,650.00",0.00,0.00,"8,927,200.00"
23/07/2025,"62,047.10","62,146.38","61,352.17","61,650.00",-100.00,0.00,"5,215,300.00"
22/07/2025,"60,855.80","61,749.28","60,458.70","61,749.28",900.00,0.01,"5,019,600.00"
21/07/2025,"61,749.28","62,245.65","60,855.80","60,855.80",-600.00,-0.01,"7,116,200.00"
18/07/2025,"61,848.55","62,146.38","61,352.17","61,451.45",-300.00,0.00,"7,032,300.00"
17/07/2025,"61,352.17","62,245.65","61,352.17","61,749.28",400.00,0.01,"14,275,700.00"
16/07/2025,"60,955.07","61,650.00","60,657.25","61,352.17",400.00,0.01,"55,302,200.00"
15/07/2025,"61,947.83","62,146.38","60,955.07","60,955.07","-1,000.00",-0.02,"6,443,400.00"
14/07/2025,"62,444.20","62,444.20","60,557.97","61,947.83",-300.00,0.00,"8,152,000.00"
11/07/2025,"61,054.35","62,642.75","61,054.35","62,245.65","1,300.00",0.02,"12,829,900.00"
10/07/2025,"61,352.17","61,352.17","60,557.97","60,955.07",-100.00,0.00,"8,269,900.00"
09/07/2025,"58,969.57","61,352.17","58,969.57","61,054.35","2,500.00",0.04,"16,577,700.00"
08/07/2025,"58,373.91","59,068.84","58,175.36","58,572.46",400.00,0.01,"10,876,000.00"
07/07/2025,"58,076.09","58,473.19","57,778.26","58,175.36",200.00,0.00,"8,184,200.00"
04/07/2025,"57,480.43","58,373.91","57,381.16","57,976.81",500.00,0.01,"4,966,800.00"
03/07/2025,"57,678.99","58,373.91","57,281.88","57,480.43",-100.00,0.00,"7,523,300.00"
02/07/2025,"57,877.54","58,175.36","57,281.88","57,579.71",-200.00,0.00,"3,030,600.00"
01/07/2025,"56,785.51","58,373.91","56,686.23","57,778.26","1,200.00",0.02,"10,137,500.00"
30/06/2025,"56,586.96","56,785.51","56,487.68","56,586.96",300.00,0.01,"3,984,201.00"
27/06/2025,"56,189.86","56,884.78","55,991.30","56,289.13",300.00,0.01,"4,170,600.00"
26/06/2025,"56,289.13","56,388.41","55,991.30","55,991.30",-200.00,0.00,"2,999,900.00"
25/06/2025,"56,388.41","56,487.68","56,189.86","56,189.86",0.00,0.00,"2,827,801.00"
24/06/2025,"56,487.68","56,686.23","56,189.86","56,189.86",0.00,0.00,"4,664,600.00"
23/06/2025,"56,289.13","56,487.68","56,090.58","56,189.86",-500.00,-0.01,"2,771,700.00"
20/06/2025,"56,289.13","56,785.51","56,090.58","56,686.23",500.00,0.01,"8,073,501.00"
19/06/2025,"56,289.13","56,586.96","56,090.58","56,189.86",-100.00,0.00,"2,426,700.00"
18/06/2025,"56,785.51","56,884.78","56,090.58","56,289.13",-500.00,-0.01,"3,608,102.00"
17/06/2025,"56,487.68","57,083.33","56,388.41","56,785.51",600.00,0.01,"5,217,800.00"
16/06/2025,"55,792.75","56,289.13","55,792.75","56,189.86",400.00,0.01,"4,623,600.00"
13/06/2025,"55,494.93","56,686.23","55,197.10","55,792.75",200.00,0.00,"5,422,900.00"
12/06/2025,"55,594.20","55,693.48","55,296.38","55,594.20",300.00,0.01,"2,747,800.00"
11/06/2025,"55,792.75","55,792.75","55,296.38","55,296.38",-200.00,0.00,"2,353,800.00"
10/06/2025,"55,594.20","55,792.75","55,494.93","55,494.93",0.00,0.00,"2,418,400.00"
09/06/2025,"55,792.75","55,991.30","55,494.93","55,494.93",-200.00,0.00,"2,281,900.00"
06/06/2025,"55,892.03","56,189.86","55,693.48","55,693.48",-200.00,0.00,"2,718,900.00"
05/06/2025,"56,289.13","56,388.41","55,892.03","55,892.03",-300.00,-0.01,"2,911,103.00"
04/06/2025,"56,487.68","56,586.96","56,090.58","56,189.86",-200.00,0.00,"2,897,501.00"
03/06/2025,"56,289.13","56,487.68","55,991.30","56,388.41",600.00,0.01,"3,402,000.00"
02/06/2025,"56,090.58","56,090.58","55,693.48","55,792.75",-200.00,0.00,"3,432,700.00"
30/05/2025,"56,388.41","56,487.68","55,991.30","55,991.30",-300.00,-0.01,"3,972,000.00"
29/05/2025,"56,785.51","56,785.51","56,289.13","56,289.13",-100.00,0.00,"4,311,500.00"
28/05/2025,"56,686.23","57,182.61","56,388.41","56,388.41",0.00,0.00,"7,450,100.00"
27/05/2025,"56,388.41","56,785.51","56,289.13","56,388.41",-200.00,0.00,"5,814,700.00"
26/05/2025,"56,487.68","56,586.96","55,594.20","56,586.96",200.00,0.00,"5,049,300.00"
23/05/2025,"56,487.68","57,083.33","56,289.13","56,388.41",-100.00,0.00,"3,753,500.00"
22/05/2025,"56,686.23","56,984.06","56,487.68","56,487.68",-200.00,0.00,"4,089,300.00"
21/05/2025,"57,083.33","57,480.43","56,586.96","56,686.23",0.00,0.00,"5,368,800.00"
20/05/2025,"56,586.96","56,984.06","56,388.41","56,686.23",100.00,0.00,"3,905,000.00"
19/05/2025,"56,984.06","57,182.61","56,586.96","56,586.96",-500.00,-0.01,"4,991,400.00"
16/05/2025,"58,373.91","58,572.46","57,083.33","57,083.33","-1,200.00",-0.02,"11,572,800.00"
15/05/2025,"58,870.29","59,366.67","58,274.64","58,274.64",0.00,0.00,"8,277,601.00"
14/05/2025,"56,785.51","58,373.91","56,785.51","58,274.64","1,900.00",0.03,"10,367,400.00"
13/05/2025,"56,686.23","56,884.78","56,189.86","56,388.41",200.00,0.00,"7,599,600.00"
12/05/2025,"56,586.96","56,884.78","55,792.75","56,189.86",0.00,0.00,"6,030,801.00"
09/05/2025,"56,884.78","57,182.61","56,189.86","56,189.86",-500.00,-0.01,"6,034,400.00"
08/05/2025,"56,984.06","57,281.88","56,487.68","56,686.23",100.00,0.00,"3,060,300.00"
07/05/2025,"56,686.23","57,083.33","56,586.96","56,586.96",0.00,0.00,"2,541,400.00"
06/05/2025,"56,884.78","57,579.71","56,586.96","56,586.96",-100.00,0.00,"3,502,900.00"
05/05/2025,"57,083.33","57,579.71","56,586.96","56,686.23",-200.00,0.00,"2,227,500.00"
29/04/2025,"57,281.88","58,076.09","56,884.78","56,884.78",-200.00,0.00,"2,462,700.00"
28/04/2025,"57,281.88","57,877.54","57,083.33","57,083.33",0.00,0.00,"1,818,600.00"
25/04/2025,"57,778.26","58,572.46","57,083.33","57,083.33",-700.00,-0.01,"3,682,000.00"
24/04/2025,"57,778.26","58,175.36","57,579.71","57,778.26",200.00,0.00,"2,025,200.00"
23/04/2025,"58,969.57","58,969.57","57,579.71","57,579.71",-500.00,-0.01,"1,928,700.00"
22/04/2025,"57,678.99","58,373.91","54,303.62","58,076.09",300.00,0.01,"4,014,700.00"
21/04/2025,"58,076.09","58,473.19","57,678.99","57,778.26",100.00,0.00,"1,290,500.00"
18/04/2025,"58,274.64","59,168.12","57,678.99","57,678.99",0.00,0.00,"2,329,401.00"
17/04/2025,"58,870.29","58,870.29","57,678.99","57,678.99","-1,200.00",-0.02,"3,151,800.00"
16/04/2025,"59,267.39","59,863.04","58,572.46","58,870.29",-700.00,-0.01,"2,789,800.00"
15/04/2025,"58,671.74","60,458.70","57,877.54","59,565.22",700.00,0.01,"5,783,200.00"
14/04/2025,"59,565.22","59,565.22","58,274.64","58,870.29",-500.00,-0.01,"3,783,500.00"
11/04/2025,"59,366.67","59,465.94","57,579.71","59,366.67","3,700.00",0.07,"8,059,500.00"
10/04/2025,"55,693.48","55,693.48","55,693.48","55,693.48","3,600.00",0.07,"196,200.00"
09/04/2025,"51,623.19","59,267.39","51,623.19","52,119.57","-3,300.00",-0.06,"8,995,800.00"
08/04/2025,"59,366.67","59,366.67","55,395.65","55,395.65","-4,200.00",-0.07,"7,323,201.00"
04/04/2025,"56,289.13","59,565.22","55,792.75","59,565.22",-300.00,0.00,"12,023,700.00"
